Model,Epoch,Train_Loss,Train_Acc,Val_Acc
Classic,1,1.6722937461535137,49.505,89.51
Classic,2,0.22944324196577073,94.38,97.88
Classic,3,0.08718778148094813,97.48833333333333,97.06
Classic,4,0.07091095377206802,97.9,98.28
Classic,5,0.04826193642318249,98.58,99.05
Classic,6,0.041927764242390794,98.79,99.04
Classic,7,0.039440622679392495,98.88333333333334,98.93
Classic,8,0.0370278116385142,98.99833333333333,99.09
Classic,9,0.03042968492905299,99.16,99.29
Classic,10,0.03156769391894341,99.10666666666667,99.33
Classic,11,0.02892774834233957,99.24166666666666,99.14
Classic,12,0.025709118211284902,99.31,99.39
Classic,13,0.02562147161165873,99.36166666666666,99.5
Classic,14,0.019595079584920315,99.49166666666666,99.46
Classic,15,0.01822363295753797,99.53333333333333,99.43
Classic,16,0.01885951614777247,99.55666666666667,99.49
Classic,17,0.016693660465379557,99.61333333333333,99.51
Classic,18,0.01593076122402951,99.61333333333333,99.55
Classic,19,0.014696925115585327,99.68666666666667,99.53
Classic,20,0.014296433132887856,99.70333333333333,99.53
Sim2Only,1,2.185918005434672,22.893333333333334,35.09
Sim2Only,2,1.2527589020729064,58.35666666666667,81.33
Sim2Only,3,0.4223934573173523,87.615,94.03
Sim2Only,4,0.18719259363412857,94.63,97.28
Sim2Only,5,0.12006520107984543,96.56,97.39
Sim2Only,6,0.07491656739115715,97.81,98.6
Sim2Only,7,0.056095457716782884,98.37,98.41
Sim2Only,8,0.052550929689904054,98.46166666666667,98.75
Sim2Only,9,0.04686275468269984,98.615,97.85
Sim2Only,10,0.03950837732901176,98.85166666666667,99.13
Sim2Only,11,0.03091311808327834,99.09833333333333,98.87
Sim2Only,12,0.030358021789292495,99.16166666666666,99.38
Sim2Only,13,0.02739994400938352,99.23166666666667,98.99
Sim2Only,14,0.02586995776494344,99.31833333333333,99.31
Sim2Only,15,0.02243175216863553,99.395,99.28
Sim2Only,16,0.021214248531560103,99.46333333333334,99.35
Sim2Only,17,0.020991810033470393,99.48833333333333,99.47
Sim2Only,18,0.018286375790834426,99.55666666666667,99.35
Sim2Only,19,0.01713096280793349,99.59,99.38
Sim2Only,20,0.01790426677465536,99.53833333333333,99.42
SU2Stereo,1,1.991366377766927,28.971666666666668,54.97
SU2Stereo,2,1.0601300576527914,63.79,74.67
SU2Stereo,3,0.7081252629915873,76.78666666666666,79.7
SU2Stereo,4,0.5680850725332895,81.50166666666667,83.43
SU2Stereo,5,0.5199850567022959,83.195,86.86
SU2Stereo,6,0.4698976895491282,84.72166666666666,87.65
SU2Stereo,7,0.5060048540433247,83.48666666666666,86.78
SU2Stereo,8,0.3511846104780833,88.565,89.41
SU2Stereo,9,0.28629152515729267,90.725,91.81
SU2Stereo,10,0.25536606470743817,91.41666666666667,91.66
SU2Stereo,11,0.2312384887377421,92.32166666666667,90.98
SU2Stereo,12,0.2134125155011813,92.905,92.8
SU2Stereo,13,0.20252382500171662,93.14,91.47
SU2Stereo,14,0.19008956859111786,93.62833333333333,93.47
SU2Stereo,15,0.18240432718594868,93.79833333333333,93.36
SU2Stereo,16,0.16696809844175975,94.32666666666667,93.74
SU2Stereo,17,0.15849752087593078,94.57833333333333,94.03
SU2Stereo,18,0.14912730774879457,94.90333333333334,93.65
SU2Stereo,19,0.14343869117101032,95.07166666666667,94.06
SU2Stereo,20,0.13608805481592814,95.3,94.57
SU2Stereo,21,0.13414393983681996,95.35333333333334,94.05
SU2Stereo,22,0.12564553932348888,95.58,93.85
SU2Stereo,23,0.12157328287760416,95.78833333333333,94.76
SU2Stereo,24,0.11494863574107488,96.00666666666666,95.15
SU2Stereo,25,0.10907383985519409,96.15833333333333,95.05
SU2Stereo,26,0.10696645307540893,96.205,94.86
SU2Stereo,27,0.10457724633614222,96.31,95.02
SU2Stereo,28,0.10038537028630574,96.42833333333333,95.01
SU2Stereo,29,0.10359358259439469,96.33833333333334,95.01
SU2Stereo,30,0.10322318333983421,96.375,95.02
BiLogPolar,1,2.0168594207763673,31.045,54.11
BiLogPolar,2,0.9699683077494303,69.85166666666667,86.19
BiLogPolar,3,0.3721214413324992,88.605,92.18
BiLogPolar,4,0.24386933298905691,92.39,93.74
BiLogPolar,5,0.19547408502101898,94.11333333333333,94.29
BiLogPolar,6,0.15978466390768686,95.18166666666667,95.99
BiLogPolar,7,0.11663125771681468,96.47,96.97
BiLogPolar,8,0.12533995115756988,96.285,95.63
BiLogPolar,9,0.11218815092245737,96.70333333333333,96.92
BiLogPolar,10,0.09713736306031545,97.07166666666667,97.06
BiLogPolar,11,0.08896596418420474,97.40166666666667,97.36
BiLogPolar,12,0.07375315553496281,97.78166666666667,97.86
BiLogPolar,13,0.07259502655466397,97.85666666666667,97.6
BiLogPolar,14,0.07103542639613152,97.86833333333334,97.86
BiLogPolar,15,0.05863017128681143,98.19666666666667,98.1
BiLogPolar,16,0.055750597627957664,98.375,97.95
BiLogPolar,17,0.04921159303188324,98.55166666666666,98.46
BiLogPolar,18,0.03968292747735977,98.84,98.37
BiLogPolar,19,0.04258253675103187,98.71833333333333,98.24
BiLogPolar,20,0.03951027011871338,98.86166666666666,98.44
BiLogPolar,21,0.03657564477746685,98.93166666666667,98.36
BiLogPolar,22,0.033347953676929075,99.03,98.37
BiLogPolar,23,0.03106818724280844,99.12833333333333,98.54
BiLogPolar,24,0.02969141849974791,99.175,98.5
BiLogPolar,25,0.029628950530290604,99.125,98.77
