phi_rad,phi_deg,psi1_rad,psi1_deg,Classique,Sim(2),SU(2) Stéréo,BiLogPolar
0.0,0.0,0.0,0.0,99.47811,99.50357,95.29023,98.6889
0.08267349088394192,4.7368421052631575,0.08267349088394192,4.7368421052631575,99.5163,99.40173,95.302956,98.57434
0.16534698176788384,9.473684210526315,0.16534698176788384,9.473684210526315,99.10896,98.99441,93.75001,97.874245
0.24802047265182575,14.210526315789473,0.24802047265182575,14.210526315789473,98.02699,97.823326,91.064156,95.90123
0.3306939635357677,18.94736842105263,0.3306939635357677,18.94736842105263,95.40479,95.252045,87.05448,91.87882
0.4133674544197096,23.68421052631579,0.4133674544197096,23.68421052631579,89.99491,91.02597,82.17923,85.0051
0.4960409453036515,28.421052631578945,0.4960409453036515,28.421052631578945,80.48626,82.87933,77.02393,75.07638
0.5787144361875934,33.1578947368421,0.5787144361875934,33.1578947368421,68.342674,73.637985,70.86304,63.276478
0.6613879270715354,37.89473684210526,0.6613879270715354,37.89473684210526,54.30245,62.232693,66.0387,50.751022
0.7440614179554773,42.63157894736842,0.7440614179554773,42.63157894736842,40.17312,51.15835,62.334526,37.907333
0.8267349088394192,47.36842105263158,0.8267349088394192,47.36842105263158,28.80601,40.796844,58.43941,27.138494
0.9094083997233612,52.10526315789474,0.9094083997233612,52.10526315789474,20.20112,32.764767,56.682793,19.857435
0.992081890607303,56.84210526315789,0.992081890607303,56.84210526315789,14.473015,24.312628,55.81721,15.147658
1.074755381491245,61.57894736842105,1.074755381491245,61.57894736842105,10.386966,17.413443,55.473526,11.812628
1.1574288723751869,66.3157894736842,1.1574288723751869,66.3157894736842,7.535642,12.449084,54.53157,9.419553
1.2401023632591288,71.05263157894737,1.2401023632591288,71.05263157894737,5.702648,8.935845,53.704178,7.7265787
1.3227758541430708,75.78947368421052,1.3227758541430708,75.78947368421052,4.684318,6.6955194,52.38035,6.9501023
1.4054493450270127,80.52631578947368,1.4054493450270127,80.52631578947368,4.086049,5.81721,49.796337,6.0463343
1.4881228359109546,85.26315789473684,1.4881228359109546,85.26315789473684,3.4495928,5.982689,47.174137,5.613544
1.5707963267948966,90.0,1.5707963267948966,90.0,3.2077394,6.4791245,44.526478,6.1736255
