phi_rad,phi_deg,Classique,Sim(2),SU(2) Stéréo,BiLogPolar
0.0,0.0,99.47811,99.50357,95.29023,98.6889
0.08267349088394192,4.7368421052631575,99.541756,99.41447,95.201126,98.65072
0.16534698176788384,9.473684210526315,99.439926,99.19807,93.660904,98.00153
0.24802047265182575,14.210526315789473,99.19807,98.587074,91.07689,96.75408
0.3306939635357677,18.94736842105263,98.45978,97.17414,87.0163,93.99186
0.4133674544197096,23.68421052631579,97.288704,94.18279,82.30652,88.88748
0.4960409453036515,28.421052631578945,94.89562,89.54939,77.34216,81.695526
0.5787144361875934,33.1578947368421,91.013245,83.35031,70.73575,72.0723
0.6613879270715354,37.89473684210526,84.712326,75.24186,66.306015,61.7999
0.7440614179554773,42.63157894736842,77.558556,65.695015,62.207233,50.700104
0.8267349088394192,47.36842105263158,68.737274,55.89359,58.834015,39.918537
0.9094083997233612,52.10526315789474,59.164974,45.506622,56.861,30.906315
0.992081890607303,56.84210526315789,49.261715,35.717926,55.88086,23.86711
1.074755381491245,61.57894736842105,39.651222,26.820267,55.639004,18.228107
1.1574288723751869,66.3157894736842,31.160898,19.48829,54.480656,14.358453
1.2401023632591288,71.05263157894737,23.345215,13.96385,53.66599,11.150713
1.3227758541430708,75.78947368421052,18.164461,9.966905,52.087578,9.699594
1.4054493450270127,80.52631578947368,14.893076,8.413952,49.681774,8.668534
1.4881228359109546,85.26315789473684,13.480144,8.2739315,46.66497,7.968432
1.5707963267948966,90.0,13.441956,8.655805,44.526478,7.8284116
